Number,Catalyst,Doping wt%,Support(Promoter),Initial composition(H2/N2),GHSV(mL g-1 h-1),Pressure(MPa),Pressure(atm), Temperature(กษ), Temperature(K) , Reaction rate(mmol g-1 h-1) , Reaction rate(kmol kg-1 s-1) , Reaction rate(mol g-1 h-1) ,N2 in(mol g-1 h-1),N2 conversion,N2 out(mol g-1 h-1)
1,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,258.343,531.493,0.756,2.1000.E-07,0.000756,0.4013066,0.00094192,0.4009286
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,279.562,552.712,1.0828,3.0100.E-07,0.0010828,0.4013066,0.00134909,0.4007652
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,299.799,572.949,1.5971,4.4400.E-07,0.0015971,0.4013066,0.00198988,0.40050805
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,320.041,593.191,2.1894,6.0800.E-07,0.0021894,0.4013066,0.00272784,0.4002119
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,339.962,613.112,2.9379,8.1600.E-07,0.0029379,0.4013066,0.00366042,0.39983765
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,360.569,633.719,4.0455,1.1200.E-06,0.0040455,0.4013066,0.00504041,0.39928385
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,370.875,644.025,4.6383,1.2900.E-06,0.0046383,0.4013066,0.005779,0.39898745
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,380.519,653.669,5.2312,1.4500.E-06,0.0052312,0.4013066,0.00651771,0.398691
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,389.507,662.657,5.9334,1.6500.E-06,0.0059334,0.4013066,0.0073926,0.3983399
,Fe,1.2,BaCeo3-xNyHz,3,36000,0.9,8.8821,400.487,673.637,6.7136,1.8600.E-06,0.0067136,0.4013066,0.00836468,0.3979498
2,Fe,10,LiH,3,60000,1,9.869,150.275,423.425,0.1665,4.6300.E-08,0.0001665,0.66884434,0.00012447,0.66876109
